a52dec 0.7.4-10
python-lxml 4.4.2-1
python-mako 1.0.14-3
python-markdown 3.1.1-4
python-markdown-math 0.6-5
python-markups 3.0.0-7
python-markupsafe 1.1.1-3
python-more-itertools 7.2.0-3
python-msgpack 0.6.2-3
python-numpy 1.17.4-1
python-ordered-set 3.1.1-1
python-packaging 19.2-5
python-pep517 0.6.0-3
python-pip 19.2.3-3
python-progress 1.5-3
python-pygments 2.5.2-1
python-pyparsing 2.4.5-1
python-pyqt5 5.13.2-3
python-pytoml 0.1.21-3
python-requests 2.22.0-3
python-retrying 1.3.3-6
python-setuptools 1:41.6.0-1
python-sip 4.19.19-3
python-sip-pyqt5 4.19.19-3
python-six 1.13.0-2
python-urllib3 1.25.7-1
python-webencodings 0.5.1-4
python-xdg 0.26-4
python-zipp 0.6.0-3
python2 2.7.17-1
python2-cairo 1.18.2-3
python2-gobject2 2.28.7-4
qbittorrent 4.2.0-1
qemu 4.1.1-1
qopenvpn 2.0.0-3
qpdf 9.1.0-1
qt5-base 5.13.2-3
qt5-declarative 5.13.2-1
qt5-imageformats 5.13.2-1
qt5-location 5.13.2-2
qt5-multimedia 5.13.2-1
qt5-sensors 5.13.2-1
qt5-svg 5.13.2-1
qt5-tools 5.13.2-1
qt5-webchannel 5.13.2-1
qt5-webkit 5.212.0alpha3-6
qt5-x11extras 5.13.2-1
qt5-xmlpatterns 5.13.2-1
ranger 1.9.2-2
raptor 2.0.15-12
rasqal 1:0.9.33-2
re2 20191201-1
readline 8.0.001-2
reaver 1.6.5-1
redland 1:1.0.17-7
reiserfsprogs 3.6.27-3
rest 0.8.1-1
retext 7.0.4-6
rhythmbox 3.4.3-2
rpcbind 1.2.5-3
rtkit 0.12-1
rtlwifi_new-extended-dkms r292.39ae68c-1
rtmpdump 1:2.4.r96.fa8646d-5
run-parts 4.8.6.1-2
rygel 0.38.3-1
s-nail 14.9.15-2
samba 4.10.10-2
sane 1.0.28-2
sbc 1.4-1
screenfetch 3.9.1-1
sdl 1.2.15-13
sdl2 2.0.10-1
sdl_image 1.2.12-5
seabios 1.12.1-1
sed 4.7-3
shaderc 2019.0-3
shadow 4.7-3
shared-color-targets 0.1.7-2
shared-mime-info 1.15-1
simple-scan 3.34.2-1
slang 2.3.2-1
smbclient 4.10.10-2
snappy 1.1.7-1
sound-theme-freedesktop 0.8-3
soundtouch 2.1.2-1
spandsp 0.0.6-2
